Serial_Number,text,relabel_llm_output,llm_model,Label_Topic,csw-removed-comment
95,System is corrupt :disappointed_face:  shameful,0,llama3:70b,Judicial Accountability and Policy Demands,"The system is corrupt, and it's a shameful state of affairs :disappointed_face:."
306,Abey pappu truck drivers ki baat kar raha To unke liye bhi soch jo 2 months se Dharna laga kar baithe hain tere khilaf tuney unka use kiya Bharat jodo yatra me aur paise nhi diye ek ek driver ka 2-2 lakh rupya pending hai tere paas :clown_face::clown_face::clown_face:,2,llama3:70b,Socioeconomic Privilege,"""Hey, you're talking about truck drivers, but what about those who have been on dharna for 2 months? You used them for Bharat Jodo Yatra and didn't even pay them a single rupee, now 2-2 lakh rupees are pending for each driver with you :clown_face::clown_face::clown_face:"""
286,This is really heart breaking. May the almighty God give you strength.,3,llama3:70b,Victim Sympathy,"This comment is not related to Indian politics, judiciary, or public safety. It appears to be a message of condolence or support. 

However, if you'd like, I can translate it into fluent English while preserving the sentiment and tone:

""This is truly heartbreaking. May God grant you the strength you need."""
790,During Covid time these insurance companies rejected claim who hospitalised due to covid.,5,llama3:70b,Irrelevant/General Comments,"""Insurance companies were rejecting claims of people who got hospitalized due to COVID during the pandemic."""
2971,Jiske Ghar ka Marta hai use pata :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,3,llama3:70b,Victim Sympathy,The one who loots the householder's money knows it all :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:
672,What about  Salman's case ? No authority had balls to file the right charges.,6,llama3:70b,Views on Similar Cases in the Past,"""What about Salman's case? No authority had the courage to file the right charges."""
1393,Heart broken Dad :broken_heart: watching this hurts ! They Need JUSTICE :balance_scale:,3,llama3:70b,Victim Sympathy,"""My heart is broken, watching this is devastating. They deserve justice."""
1177,5+5 crore fee dena chaiye wo 2 person ka family ko,2,llama3:70b,Socioeconomic Privilege,The fee of 10 crores should be given to that two people's family.
1309,Ruko..sab badlega... nothing is permanent..even the law..law changes with time to time,0,llama3:70b,Judicial Accountability and Policy Demands,"""Hold on, everything will change... nothing is permanent... not even the law, it keeps changing over time"""
990,MY FRIEND WHO I NOT USED TO TALK THAT MUCH BUT WAS MY FRIEND......DIED IN MEDCHAL HYDRABAD UNDER A TRUCK CARRYING PEBBLES   :=====    SUCH IS LIFE LADS.....UNKNOWS WAITING FOR US,6,llama3:70b,Views on Similar Cases in the Past,"""My friend, who I rarely spoke to, but was a friend nonetheless, died in Medchal, Hyderabad, under a truck carrying pebbles. Such is life, lads. Unknowns are waiting for us."""
240,Ending well said the case was taken seriously because of our pressure on them because people were angry and keep commenting about pune police and their sentence to the criminal it's because of us this is what democracy means believe in that one day the criminal will be punished.,4,llama3:70b,Anger or Outrage,"""We said it would end well because our constant pressure made them take the case seriously, thanks to the public's anger and non-stop comments about the Pune police's lenient sentence for the criminal. It's because of us that this is what democracy looks like. One day, justice will be served."""
866,I pray to god that the parents of both deceased get justice.,3,llama3:70b,Victim Sympathy,I pray to God that the parents of both the deceased receive justice.
2927,"Recently In Jalgav Maharashtra same incident happened,No one is arrested 4ppl left the world.",6,llama3:70b,Views on Similar Cases in the Past,"""Recently in Jalgav, Maharashtra, the same incident happened, but no one has been arrested yet, and four people have lost their lives."""
288,No boss if they found he is Muslim they would do something else,5,llama3:70b,Irrelevant/General Comments,"""If they found out he's a Muslim, they would have done something else."""
1817,"This video also targets increased revenue from you tube as it's in the news and will attract viewership. Plenty of cases where commoners are struggling,  killed,  stuck in red tape. A vist to any court or correction center can provide a volume of such cases. But they don't get any media time. From another perspective it's a jungle out there. Needs connects and funds to survive. Or your just ignored.",5,llama3:70b,Irrelevant/General Comments,"""This video also targets increased revenue from YouTube as it's in the news and will attract viewership. There are numerous cases where ordinary people are struggling, being killed, or getting stuck in bureaucratic red tape. A visit to any court or correction center would reveal a plethora of such cases. However, they don't receive any media attention. From another perspective, it's a jungle out there, and people need connections and funding to survive, or else they're simply ignored :expressionless face"""
1777,"We live in a India where innocent are taken under custody without any evidence or proof and they're put behind the bars as per our PM's so called new law (Guilty until proven innocent). Here when the judiciary have all the important proofs as well as  eye witness too but the case is taken lightly by taking the guy as a underage is drinking legal for underaged kids, is driving a car legal for a minor , is drink and drive legal for a minor. The problem is nowerdayd there is no power in voice of a deshbhakt a normal citizen. Power is in hand of rich . Does our life has no cost, are we safe in this country anymore, are our future safe here?",4,llama3:70b,Anger or Outrage,"""We live in a country where innocent people are being taken into custody without any evidence or proof and are put behind bars based on our PM's so-called new law, which is actually 'Guilty until proven innocent.' Here, even when the judiciary has all the crucial evidence and eyewitness accounts, the case is being taken lightly by using the excuse that underage drinking, driving a car, and drink-driving are legal for minors. The problem is that nowadays, there is no power in the voice of a patriotic citizen like me. Power is in the hands of the rich. Does our life have no value, are we safe in this country anymore, or is our future secure here?"""
2295,Justice for neet. Aspirants future doctors,5,llama3:70b,Irrelevant/General Comments,"""Justice for NEET aspirants. Their future as doctors is at stake."""
2749,It is clear that 2 wheeler rider is at fault.. he took right sharp turn sudden without even looking the mirror or behind... Car driver cant to anything in this case.. not car driver mistake ..,4,llama3:70b,Anger or Outrage,"""It is clear that the two-wheeler rider is at fault. He took a sharp right turn suddenly without even checking the mirror or looking behind. The car driver couldn't do anything in this case. It's not the car driver's mistake."""
2607,Please make video on Jalgaon hit and run case,6,llama3:70b,Views on Similar Cases in the Past,"I'll translate the comment as is, without adding any explanations or context. Here's the translation:

""Please make video on Jalgaon hit and run case"""
1993,How can people even get courage to drive a car above 100km/h in a crowded road.. The mistake is there itself whether you are 17 or 70.,1,llama3:70b,Public Safety,"People can't even have the guts to drive a car above 100km/h on a crowded road, and the problem lies in their own recklessness, whether they are 17 or 70."
1395,"Driving on the wrong side, driving on pavement are normal. Crossing the red light, crossing bikes over pedestrian crossings are completely normal here. These are the same people questioning law, corruption and justice!!",1,llama3:70b,Public Safety,"""Driving on the wrong side, driving on the pavement are normal. Crossing the red light, crossing bikes over pedestrian crossings are completely normal here. These are the same people questioning the law, corruption, and justice!! :expressionless face"""
1828,The pub where he was drinking. They should be made party as well. They didn't ask for ID before allowing alcoholic beverages,4,llama3:70b,Anger or Outrage,The pub where he was drinking should also be held responsible for not following the law. They didn't even verify his age before serving him alcohol.
760,"With all due respects, one thing that comes to mind is that never to hit the road (unless necessary!) late nights or earliest mornings; as, mad hours translates to mad people behind the wheels! God bless the departed soils, may them RIP :folded_hands:",3,llama3:70b,Victim Sympathy,"""With all due respects, one thing that comes to mind is that never hit the road late at night or early in the morning unless it's absolutely necessary, because those hours are when you usually find mad people behind the wheels! God bless the departed souls, may they rest in peace :folded_hands:"""
2067,Justice for Gyan bhai:crying_face:,5,llama3:70b,Irrelevant/General Comments,"""Justice for Gyan bhai :expressionless face"""
585,I stay exactly on this road and I still feel so bad whenever I travel from here,3,llama3:70b,Victim Sympathy,I stay exactly on this road and I still feel extremely bad every time I travel from here.
225,Same in Nepal before three to four years ago :crying_face::crying_face::crying_face: love you bhai from :Nepal::backhand_index_pointing_left:,6,llama3:70b,Views on Similar Cases in the Past,"""It's the same situation in Nepal as it was three to four years ago :crying_face::crying_face::crying_face: You're amazing, brother, from Nepal."""
2765,"This case will die off after sometime, afterall money talks.",2,llama3:70b,Socioeconomic Privilege,"""Bribes will see this case through, it'll get buried eventually."""
1286,India me Paisa bahoot Tez Bolta hai. This is not the first incident not last either.,2,llama3:70b,Socioeconomic Privilege,"""Corruption is running very fast in India. This is not the first incident, and it won't be the last either."""
1131,"Plot twist is that these doctor were being honest and not being cooperative with police nd hence this is put in their names
No ethics,no morals for these criminals with power.
Just my personal views reality might be different but this should be the case according to me.",2,llama3:70b,Socioeconomic Privilege,"""These doctors were being truthful and weren't cooperating with the police, that's why their names are involved.
No ethics, no morals for these power-hungry criminals.
This is just my personal opinion, reality might be different, but in my view, this is how it should be."""
2316,Reminds Hide and Run case.,5,llama3:70b,Irrelevant/General Comments,"""This is a clear case of hide and run, just like the Hide and Run case."""
2531,"when I try to follow rules mainly speed limit which is written on sign boards, than other cars start to overtake me and I feel a pressure that I am moving to slow and unbale to make a safe distance from vehicles moving in front and back. This can lead to accident",1,llama3:70b,Public Safety,"""When I try to follow the rules, mainly the speed limit written on signboards, other cars start overtaking me, making me feel pressured that I'm moving too slowly and unable to maintain a safe distance from vehicles in front and behind, which can lead to accidents."""
2504,Supreme Kotha se to pura vishwas uth chuka he baki kisko kya kahe.:smiling_face_with_tear:,4,llama3:70b,Anger or Outrage,"""I have lost all faith in the Supreme Court now, what can anyone else say.:smiling_face_with_tear:"""
2805,:red_heart::red_heart::red_heart:,6,llama3:70b,Views on Similar Cases in the Past,"""Love for the judiciary, love for the judiciary, love for the judiciary."""
1498,"Can‚Äôt imagine what Aneesh and Ashwini‚Äôs parents must be going through 

May their souls Rest in Peace :folded_hands_light_skin_tone:",3,llama3:70b,Victim Sympathy,"I'm unable to translate this comment as it is not in Hinglish, Marathi, or code-mixed. It appears to be a comment in English with a mention of Indian names (Aneesh and Ashwini)."
2239,This is too depressing for the mother to lose her husband then her daughter,3,llama3:70b,Victim Sympathy,This is too depressing for the mother to lose her husband then her daughter.
2192,:party_popper:,1,llama3:70b,Public Safety,""":party_popper:"""
2386,Guys listen let's tweet about him and tag him to suspend him as we can clearly see whats his intention.,4,llama3:70b,Anger or Outrage,"""Everyone, let's tweet about this person and tag him to get him suspended. It's obvious what his intentions are."""
1700,India is not for poor peoples,2,llama3:70b,Socioeconomic Privilege,"""India is not for the poor."""
1565,What about Salman Khan case.,6,llama3:70b,Views on Similar Cases in the Past,"""What about the Salman Khan case."""
784,There is no justice for poor/middle class families... Money can buy anything..after few days everyone will forget this case n move forward :disappointed_face::disappointed_face:,2,llama3:70b,Socioeconomic Privilege,"""There is no justice for poor and middle-class families... Money can buy anything; after a few days, everyone will forget this case and move on."""
142,Saare rules and regulations sirf middle class ke liye hai‚Ä¶,2,llama3:70b,Socioeconomic Privilege,"""All the rules and regulations are only for the middle class‚Ä¶ :expressionless face"""
2597,Money power kuch nahi hoga usko marne wale ka to ghar barbad ho gya :crying_face::crying_face::crying_face:,2,llama3:70b,Socioeconomic Privilege,"""Money power won't save him, his family's been ruined by those who killed him :crying_face::crying_face::crying_face:"""
2785,once a rich man said:- money can buy you freedom from any problem and he proved that day and today its proved by another person.,2,llama3:70b,Socioeconomic Privilege,"""A wealthy man once said that money can buy you freedom from any problem, and he proved it that day; now another person has also proven it today."""
2853,"Ha bhai dhruv rathi ,nikal gayi hawa :face_with_tears_of_joy:",5,llama3:70b,Irrelevant/General Comments,"""Ha bhai Dhruv Rathi, the truth has finally come out :face_with_tears_of_joy:"""
1006,Salute you for raising the real issue on such way,5,llama3:70b,Irrelevant/General Comments,"I'm glad you're appreciative of the effort, but the original comment seems to be a straightforward expression of support and admiration. Here's the translation:

""Salute you for raising the real issue in this manner."""
1675,Ussko admission milna bhi nahi chahiye why should he live life of happiness when he ruined so many lives?,4,llama3:70b,Anger or Outrage,"""He shouldn't even get admission. Why should he live a life of happiness when he has ruined so many lives? :expressionless face"""
271,"you know what, i try my best to wait during the red traffic lights, but i found sometimes breaking the rules because of people around me saying "" are madam, chalo aage or by horning constantly"" i get so angry when people do this things and can't even wait for just 30 secs or sometimes less than that... but trust me i am trying my best in following the traffic rules...",1,llama3:70b,Public Safety,"""you know what, i try my best to wait during the red traffic lights, but i get frustrated when people around me say 'are madam, chalo aage' or honk constantly, it makes me so angry that i can't even wait for 30 seconds or less... but trust me, i am doing my best to follow the traffic rules."""
2903,Justice is illegal in India...Now a days Indian judiciary has become a joke...The judge should be dismissed from his duties,0,llama3:70b,Judicial Accountability and Policy Demands,"""Justice is illegal in India...Nowadays, the Indian judiciary has become a joke...The judge should be dismissed from his duties"""
1747,Justice for neet aspirants :crying_face: dhruv bhai,2,llama3:70b,Socioeconomic Privilege,"""Justice for NEET aspirants :crying_face: Dhruv Bhai"""
1009,Justice for Ashwin and Aneesh:pleading_face::sad_but_relieved_face:,1,llama3:70b,Public Safety,"""Justice for Ashwin and Aneesh: :expressionless face::sad but relieved face:"""
3055,"Hyderabad lo... pillion rider ki helmet leka pote triple riding seste just koddiga zebra line cross seste photo teesi fine yestaru general poor and middle class people ki.....
I don't understand why.....",1,llama3:70b,Public Safety,"""In Hyderabad, a pillion rider is wearing a helmet, the bike is doing triple riding, crossing a zebra line, and the police are still issuing fines to poor and middle-class people.
I don't understand why."""
883,Vahe Indian judiciary ka decision with police behaviour.shame for judiciary.,0,llama3:70b,Judicial Accountability and Policy Demands,"""It's a shame that the Indian judiciary's decision has gone hand in hand with the police's behavior. :expressionless face"""
1996,Sir judicial ke uper jo case se related hai thoda video banaye kahi hamesa hi to aise bail nahi de rahe hai:crying_face::crying_face::crying_face:,4,llama3:70b,Anger or Outrage,"""They're always refusing bail in these related cases, sir, on the judiciary, and that's why I made this video."""
18,Law in Bharat is selectively blind and on sale too if have right pull,1,llama3:70b,Public Safety,"""The law in India is selectively blind and for sale, as long as you have the right connections."""
596,"the voice the hesitation , and also his way of interacting , all says this police is surely under pressure and also a very corrupted cop",4,llama3:70b,Anger or Outrage,"""The way he's speaking, the hesitation in his voice, and his manner of interaction all indicate that the police are indeed under pressure and that there's a corrupt cop involved."""
3101,Parents too shud be punished.....idiots,1,llama3:70b,Public Safety,"Parents too should be punished, these idiots."
2065,Bhagwan un baccho ke aatmaa ko Shanti de :crying_face::crying_face::crying_face:,3,llama3:70b,Victim Sympathy,"""May God grant peace to those innocent children's souls :crying_face::crying_face::crying_face:"""
2866,It seems salmaan khan case is re repeating again.,6,llama3:70b,Views on Similar Cases in the Past,"""It seems the Salman Khan case is repeating itself again."""
515,"When govt was coming up with ammendment in mv acts with a bit strictness.   

But people don't want to change just for the sake of propoganda.. 


Mv acts must be revised",0,llama3:70b,Judicial Accountability and Policy Demands,"""When the government was proposing an amendment to the Motor Vehicles Act with a bit more strictness. 

But people don't want to change it just for the sake of propaganda.. 

The Motor Vehicles Act must be revised"""
318,"What is the root cause of the problem? It's alcohol, which made the boy who is responsible for the accident, to be senseless & cinema, which provoked him & gave him idea to go to the bar & do such bad stuff. And the justice is to take action on the manufacturers of alcohol and arrest bad cinema actors who provoked the boy to do evil & the boy who done it. And ultimately, the government is the root cause which allowed alcohol manufacturers & cinema for gaining money. Unless & until the root cause of the problem is dealt, we would never find a solution. If we want to avoid many future accidents we have to deal with this right now very seriously. 

""Read the Bible to get wise & let lives be saved.""",4,llama3:70b,Anger or Outrage,"""The root cause of the issue is the alcohol that rendered the boy responsible for the accident senseless, and the cinema that provoked him and gave him the idea to go to the bar and commit such a heinous act. The justice should be served by taking action against the manufacturers of alcohol and arresting the actors who promoted such bad cinema, as well as the boy who committed the crime. Ultimately, the government is to blame for allowing alcohol manufacturers and cinema to operate for the sake of profit. Until we address the root cause of the problem, we'll never find a solution. If we want to prevent many future accidents, we must tackle this issue seriously now.

Read the Bible to gain wisdom and save lives :expressionless face"""
1722,"Good compilation, prepare same content for Nagpur Mercedes case",6,llama3:70b,Views on Similar Cases in the Past,"""I really liked this compilation. Can you make a similar one about the Nagpur Mercedes case?"""
1049,What About Aston Martin Case :face_with_open_mouth::face_with_open_mouth:,6,llama3:70b,Views on Similar Cases in the Past,"""What about the Aston Martin case?"""
2733,Just imagine the heartbreaking emotions the parents are undergoing of the victims......shame really shame:crying_face:,3,llama3:70b,Victim Sympathy,"""Just imagine the heartbreaking emotions the parents of the victims are going through... it's a shame, really a shame :crying_face:"""
557,indian law police and court system saab corrupted hay,4,llama3:70b,Anger or Outrage,"""The entire Indian law, police, and court system is corrupt.""

😐"
87,Only because of social media the actual criminals got punished,4,llama3:70b,Anger or Outrage,"""It's only because of social media that the real culprits have been brought to justice."""
811,He should be trailed as adult,0,llama3:70b,Judicial Accountability and Policy Demands,"""He should be tried as an adult."""
2154,"motorbike - no helmet ... it is a highspeed highway so should have waited on the left, looked back making sure no one is speeding and then taken the turn... Car guy dint notice that he  was midway and stopped after crashing and will be either ways blamed... by God's grace no lifes lost which is most important",1,llama3:70b,Public Safety,"""Motorbike - no helmet. It's a high-speed highway, so he should have waited on the left, looked back to ensure no one was speeding, and then taken the turn. The car driver didn't notice he was in the middle of the road and stopped only after crashing, so he'll be blamed anyway. Thankfully, no lives were lost, which is the most important thing :expressionless face"""
627,"Wtf seriously ,so why salman khan case was stretch so far ???",6,llama3:70b,Views on Similar Cases in the Past,"""What the heck is going on, seriously? The Salman Khan case was dragged on for far too long, wasn't it?"""
2117,"How honest we are and see what hapenned in Rajkot...I was there in Rajkot on that terrible incident....If you dont stop corruption, dying people will be poor and posh game where rich and middle class will die....hHhHhHhhahahah no one will escape...",5,llama3:70b,Irrelevant/General Comments,"""We are honest, just look at what happened in Rajkot... I was there during that terrible incident... If you don't stop corruption, the poor who are dying will be left poorer, and it'll be a game where the rich and middle class will meet their demise... :expressionless face"""
2840,Indian judiciary  says This incident that - : money can buy anything,4,llama3:70b,Anger or Outrage,The Indian judiciary claims that money can buy anything in this case.
1372,There is a different law for the rich and different for the poor.,2,llama3:70b,Socioeconomic Privilege,"""There is a different law for the rich and a different one for the poor."""
2110,"Dhruv brother Nagpur Ram zula accident val ise bhi corrupt hai please look into this :red_heart: 2 young kill in small middle class family 





Please justice :balance_scale:",6,llama3:70b,Views on Similar Cases in the Past,"""Dhruv brother, the corrupt Nagpur RTO is responsible for the accident, please investigate this. :red_heart: Two young lives were lost in a middle-class family. We need true justice :balance_scale:"""
1185,"No indicater ,nothing and moving towards right....",5,llama3:70b,Irrelevant/General Comments,"""There's no sign of change, nothing is happening, and things are only getting worse."""
2307,Ambani son's already done accident and no case make videos on this story,6,llama3:70b,Views on Similar Cases in the Past,"""Billionaire Ambani's son has already gotten away with a hit-and-run accident and no case was filed, so they're making videos about this story"""
652,Where in India police is not corrupt.,0,llama3:70b,Judicial Accountability and Policy Demands,"""In India, police are not corrupt anywhere."""
3138,"Bach Jaye Ga Ye
Bus Middle Class Or Low Class  Income Wale Ko Pakdte Hai :crying_face:",2,llama3:70b,Socioeconomic Privilege,"""The poor and middle-class people will suffer, only they are being targeted :expressionless_face:"""
1713,Justice to hoga.... Jarur hoga,4,llama3:70b,Anger or Outrage,"""Justice will be served.... It will definitely be served."""
391,"This incident bears a striking resemblance to the movie Jolly LLB, showcasing corruption in its most blatant form.",4,llama3:70b,Anger or Outrage,"""This incident is a stark reminder of the movie Jolly LLB, where corruption is depicted in its most blatant form."""
763,this case ....well its system made by humans so offcourse money is factor but law of karma wont let him  go .,2,llama3:70b,Socioeconomic Privilege,"""This case is just a product of the system created by humans, so of course, money plays a role, but the law of karma won't let him get away with it."""
2991,"Let us take social media‚Äôs power to next level - let‚Äôs appeal to the Hon‚Äôble President requesting Her intervention so that the brat is sentenced and victim‚Äôs families get justice, if at all :crossed_fingers:",0,llama3:70b,Judicial Accountability and Policy Demands,"""Let's harness the power of social media to its full potential - let's appeal to the Hon'ble President to intervene so that the guilty person is punished and the victim's families receive justice, if at all :crossed_fingers:"""
601,"99% drivers traffic rules follow nahi  karta. Yeh video dekhte waqt bhi , isi waqt .. log traffic law's tod rahen hain . Sab log ise halke mai lete hai .",1,llama3:70b,Public Safety,"""99% of drivers don't follow traffic rules. Even while watching this video, people are breaking traffic laws. Everyone takes it lightly."""
2326,Laws were made by the rich to protect the rich. Thats the history.,2,llama3:70b,Socioeconomic Privilege,Laws were made by the rich to protect the rich. That's the history.
130,Justice is needed.....keep protesting people of India.... It reminds the movie ghayal 2...,3,llama3:70b,Victim Sympathy,"""Justice is needed. Keep protesting, people of India. This reminds me of the movie Ghayal 2..."""
718,:thumbs_up::thumbs_up::thumbs_up: We are hoping that justice will be served to victims who were going on bike and belonged from medium class family,3,llama3:70b,Victim Sympathy,""":thumbs_up::thumbs_up::thumbs_up: We're expecting justice to be delivered to the victims who were riding a bike and belonged to a middle-class family."""
3018,"Lol, there's no justice. Ambani's kid also did the same thing on carter road mumbai 12 years back, but no news",6,llama3:70b,Views on Similar Cases in the Past,"""Haha, there's no accountability. Mukesh Ambani's son also did the same thing on Carter Road in Mumbai 12 years ago, but nobody's talking about it :expressionless face"""
815,Proud of the Indian judiciary:red_heart::red_heart::red_heart::red_heart:,2,llama3:70b,Socioeconomic Privilege,"""I'm extremely proud of the Indian judiciary."""
2977,if you are rich no law applies to you :crying_face::crying_face::crying_face:,2,llama3:70b,Socioeconomic Privilege,"""Only the poor have to follow the law, the rich get away with everything :crying_face::crying_face::crying_face:"""
2803,Main toh kehta hoon chhodo judiciary system ko...khud hi insaaf apne haath se lo:face_with_symbols_on_mouth::face_with_symbols_on_mouth::face_with_symbols_on_mouth:,4,llama3:70b,Anger or Outrage,"""I say, just abandon the judiciary system...take justice into your own hands:expressionless face::expressionless face::expressionless face:"""
910,"Why would he be speeding when entering a crowded area?
And our victim was at the center of the road bursting crackers.",4,llama3:70b,Anger or Outrage,"""He was speeding in a crowded area and our victim was in the middle of the road bursting crackers."""
230,It is very clear the incident is influenced... Even though the visuals are proof...,2,llama3:70b,Socioeconomic Privilege,"""It is very clear that the incident is being influenced... Even though the visuals are proof of this."""
2673,Weldone Arnab Sir.. Amit Shah must look on Police work in his next term..Most corrupted department is the Police,0,llama3:70b,Judicial Accountability and Policy Demands,"""Well done, Arnab Sir... Amit Shah must pay attention to the police work in his next term... The most corrupt department is the police."""
762,good decision by high court.. at least people got right message. The most important thing in today world is Money,2,llama3:70b,Socioeconomic Privilege,"""Great decision by the High Court, finally people are getting the right message. In this day and age, money is the most important thing."""
2256,When the government came with a strict law .it was your party who supported truck drivers,4,llama3:70b,Anger or Outrage,"""When the government introduced a tough law, it was your party that backed truck drivers."""
2050,"What if who died is judge daughter & son...
Then also he give bail to the fucking bastard rich boy",6,llama3:70b,Views on Similar Cases in the Past,"""What if the judge's own daughter and son were to die...then he would still give bail to that rich, bloody bastard!"""
3046,I guess driver was not seeing front,4,llama3:70b,Anger or Outrage,The driver was not paying attention to the road.
2392,:stop_sign:Judge Ponkshe should resign.:stop_sign:,0,llama3:70b,Judicial Accountability and Policy Demands,""":stop_sign: Judge Ponkshe should resign.:stop_sign:"""
1192,"Im from pune, aur ye incident humare area mein hi hua hai, jab ye sab pata chala it was shocking for us.  vedant should get punishment, and he should not be treated like a minor. Jab bhi main kalyani nagar se jati hu ussi road se roz yehi saari chize yaad aate hai. Bohot dukh ki baat hai ki ye pura system kitna corrupted hai.",0,llama3:70b,Judicial Accountability and Policy Demands,"""I'm from Pune, and this incident happened right in our area. When we found out, it was shocking for us. Vedant should get punished, and he shouldn't be treated like a minor. Every time I go to Kalyani Nagar, I'm reminded of all these things. It's very painful to see how corrupt the entire system is. 😐"""
235,Good journalism .:: why don‚Äôt journalists address these issues,3,llama3:70b,Victim Sympathy,"""Good journalism. They should be addressing these issues."""
795,"UNITY IS STRENGTH, UNITED TOGETHER WE CAN DO WONDERS JUSTICE FOR ANEESH AND ASHWINI",3,llama3:70b,Victim Sympathy,"""UNITY IS STRENGTH, UNITED TOGETHER WE CAN ACHIEVE GREATNESS, JUSTICE FOR ANEESH AND ASHWINI"""
1987,We all know how police work and corruption as fck.. we do not have any hope in this police system,4,llama3:70b,Anger or Outrage,"""We all know how corrupt and ineffective the police system is. We have lost all hope in it."""
2727,Shame on our law and enforcement who are sold out to rich :money-mouth_face:,0,llama3:70b,Judicial Accountability and Policy Demands,"""Shame on our law and law enforcement who have been bought out by the rich :money-mouth_face:"""
314,"Pray for the family of people killed ...
#rip:crying_face:",3,llama3:70b,Victim Sympathy,"""May God have mercy on the families of those innocent people who lost their lives... :crying_face:"""
618,Dhruv rathi :red_heart::red_heart:,5,llama3:70b,Irrelevant/General Comments,"""I fully support Dhruv Rathi."""
218,At this point i m not even shocked... coz i m so used to it now... isn't it  disturbing....,4,llama3:70b,Anger or Outrage,"""I'm not even shocked anymore, I've gotten so used to it. Isn't it disturbing :expressionless face"""
39,"Builder, police, excise and politicians are equally responsible for this.",4,llama3:70b,Anger or Outrage,"""Builders, the police, excise officials, and politicians are equally accountable for this."""
1384,May god free the spirits of both by providing justice to them.,3,llama3:70b,Victim Sympathy,"""May god free the spirits of both by providing justice to them."""
3139,"What is"" stoopsto new low "" in this . Media should know due process of law ,
Media  reporting is naive  ,play to emotion 
of gallery  
 trial  will be on person who drive  that car  not on car. It normal  process  in accidents case .",5,llama3:70b,Irrelevant/General Comments,"""This is a new low for stoopid people. The media should understand the due process of law. Media reporting is naive and plays to the emotions of the gallery. The trial will be on the person who drove the car, not on the car itself. It's a normal process in accident cases."""
881,"my questions is why this type of incident are taking place so regular basis 
why young children's are doing this 
what is the role of govt
where is our law system",4,llama3:70b,Anger or Outrage,"""Why are such incidents happening so frequently? What's the role of the government in this? Where's our law system?"""
2514,Bhai paise hai toh sabkutch hai. Sad reality of Judiciary.,2,llama3:70b,Socioeconomic Privilege,"""Brother, when there's money involved, everything is okay. The sad reality of the Judiciary."""
1637,"Name of judge please, we demand to arrest judge and whoever supporting this",4,llama3:70b,Anger or Outrage,"""We want to know the name of the judge, we demand that the judge be arrested along with those who are supporting this"""
456,I agree with the gentleman who said we need a curfew of 11.30. Bars should take the last call at 11 and the clubs should shut at 11.30 sharp. Police patrol is a must 12 am to 6 am. Let's make this case go viral internationally too.,3,llama3:70b,Victim Sympathy,"""I agree with the gentleman who said we need a curfew of 11.30 PM. Bars should serve their last drinks at 11 PM and clubs should close at 11.30 PM on the dot. Police patrols are necessary between 12 am and 6 am. Let's make this case go viral internationally as well."""
2235,Non biological was personal :grinning_face_with_sweat:,5,llama3:70b,Irrelevant/General Comments,"""He's not a biological father, but emotionally he's a personal father to me :grinning_face_with_sweat:"""
2314,Indian Judicial System is trash. Only the rich and powerful are benefitted from this trash. Shame on this Indian judiciary :pile_of_poo::pile_of_poo:,0,llama3:70b,Judicial Accountability and Policy Demands,"""The Indian judicial system is rubbish. It only serves the interests of the wealthy and influential. This is a shame for the Indian judiciary."""
1680,Ameero k chamche bas inko bachane me lage hai.... Jabki gareeb drivers k upar hi bas penalty me penalty thokte hai....,2,llama3:70b,Socioeconomic Privilege,"""Ameer people's agents are only busy protecting them... Meanwhile, poor drivers are being slapped with fines after fines."""
5,What a pathetic family,2,llama3:70b,Socioeconomic Privilege,"""This government is a pathetic family."""
2980,Shame on court,4,llama3:70b,Anger or Outrage,Shame on the court.
1066,Sab kuch Angrezo ka hi chal raha hai aaj bhi bhart me :face_with_tears_of_joy:ye Kanno hi esa banya tha angaro ne.jail se pehle bail hai . MVA Artical me :face_with_tears_of_joy:,5,llama3:70b,Irrelevant/General Comments,"""Everything is still being controlled by the British today in India :face_with_tears_of_joy: This is exactly what the British had planned, bail before jail. MVA Article 370 :face_with_tears_of_joy:"""
3030,We want justice :raised_fist:,0,llama3:70b,Judicial Accountability and Policy Demands,"""We want justice :raised_fist:"""
159,Couple the yaa nahi the usse kya farak padta hai...how silly..... Justice is Justice,4,llama3:70b,Anger or Outrage,"""It doesn't matter if they were a couple or not, what's the difference? This is ridiculous... Justice is Justice."""
2659,Money speaks everything :face_with_tears_of_joy:... Such a shame justice:folded_hands:,0,llama3:70b,Judicial Accountability and Policy Demands,"""Money talks louder than anyone else... It's a shame that justice is being bought and sold."""
1753,Everywhere the judiciary is corrupt.,0,llama3:70b,Judicial Accountability and Policy Demands,The judiciary is rotten to the core.
252,It has reminance of infamous Salman Khan case.,6,llama3:70b,Views on Similar Cases in the Past,"""It has a resemblance to the notorious Salman Khan case."""
1575,We common people not feel safe. Kal ko raah chite koyi humko gadi se maar de then who will be responsible. Strict action should be taken in this case. #wewantjustice #puneporschecaseshame #systemfail #punepoliceshame,4,llama3:70b,Anger or Outrage,"""We common people don't feel safe. If someone knocks us down from a car tomorrow, who will be accountable? Strict action should be taken in this case. :expressionless face"""
